,V8-D4 SV Fence,V8-D4 SV MEM Fence,V8-D4 Prop1,V8-D4 PROP,V8-D4 BASE
axpy,1.0035598584630674,1.009026330552702,1.009026330552702,1.009026330552702,1.0
blackscholes,0.7521754284054604,0.7676533534109166,0.784998060041709,0.7837302648104081,1.0
canneal,0.745082349803294,0.8354008154908761,0.9097581902787606,0.9097467950123064,1.0
jacobi-2d,0.7214903742739264,0.8054334555178694,0.9640634093999718,0.9640634093999718,1.0
particlefilter,0.9921189182430566,0.9929371105199902,0.9951197909091463,0.9950926359493265,1.0
pathfinder,0.6841554157361676,0.6650572890394177,1.0,1.0,1.0
streamcluster,0.6949472158832675,0.8462145168399609,0.8482464631772827,0.848122392666954,1.0
swaptions,0.710230977079973,0.7924830695071223,0.8169564320256057,0.8169579638654366,1.0
spmv,0.9888960663010216,0.9974385172732,1.0003858410653919,1.0003858410653919,1.0
fftw3,0.6499049308277752,0.7620334373529053,0.7715094065368162,0.771506202474345,1.0
GeoMean,0.794256153501701,0.8473677895504961,0.9100063923987387,0.9098631835796842,1.0
