_axpy 	180242	90130	45074	22546	11282	
_streamcluster 	12621471	10445275	9357177	9357177	9357177	
_blackscholes 	2369113	1258717	706713	430705	292689	
_canneal 	349708	302131	281846	264680	267666	
_swaptions 	45341473	22952786	11413328	5789812	3039912	
_particlefilter 	11267629	11115248	11057075	11020723	11004370	
_pathfinder 	427013	241013	148013	148013	148013	
_jacobi-2d 	2699378	1350578	676178	338978	338978	
_spmv 	770982	410446	230409	140297	95241	
_fftw3 	1879334	959240	486280	247528	129385	
