,Reordered younger vector and older vector,Reordered younger scalar and older vector
axpy,0.09351727505799047,0.6592525449728072
blackscholes,0.02702702702702703,0.45833135776713607
canneal,0.15638355254968672,0.2661739213575161
jacobi-2d,0.09368708498971397,0.9850283995329415
particlefilter,0.16162294374370534,0.0032024070144222863
pathfinder,0.12106664515087946,0.7991688176756117
streamcluster,0.24761873728764144,0.4133417896965602
swaptions,0.08459219118260737,0.5115261927187625
spmv,0.20524870533163783,0.7116766258225022
fftw3,0.09910981900510696,0.9177604415663436
